instruction,response
"Eh boye, le truc de la bourse oyo ozalaki koloba, eza déjà disponible ?","Pas encore, mon frère. Le ministère aime le suspense. Continue à vérifier na babulletin d’annonce, souvent fin du mois bakomi koloba. <END>"
"Bongo soki dossier na ngai ebandi kobebisa, nazali faire nini ?","Va au bureau, parle calmement. Ba dossiers ne disparaissent pas, ils dorment. Réveille-les avec politesse et persévérance. <END>"
"Ok, et pour l’histoire du stage dont on causait ?","Toujours la même démarche : lettre de demande, CV, attestation d’inscription. Dépose au bureau des stages, et relance après une semaine. <END>"
"Le prof oyo okebisaki ngai, azongi vraiment ?","Oui, azongi mais na humeur mixte. Sois prudent, salue d’abord avant de poser question. <END>"
"Eh donc, le transfert de faculté que tu avais expliqué, c’est déjà ouvert ?","Oui, les demandes commencent souvent après la session principale. Prépare ta lettre et tes relevés maintenant. <END>"
"Tu vois, le Wi-Fi encore ezo couper, on fait comment pour bosser ?","Classique. Télécharge les docs pendant que ça marche, sinon prends ton téléphone comme routeur. C’est pas rapide, mais c’est mieux que rien. <END>"
Bongo ba examens ekozala quand finalement ?,"Le calendrier définitif sort après la réunion du conseil académique. Traduction : prépare-toi, mais ne parie sur aucune date. <END>"
"Tu te rappelles, on parlait du mémoire ? Le mien est prêt maintenant.","Super ! Faut juste que ton encadreur signe avant dépôt. Et imprime deux versions, au cas où le secrétariat en 'perd' une. <END>"
"Le doyen oyo asimbaki lettre na ngai, ayebisaki koloba nini ?","Probablement 'reviens demain', comme d’habitude. Va vérifier demain, et après-demain, jusqu’à ce que la fatigue change son cœur. <END>"
"Et le stage que tu avais mentionné, il faut être en quelle année ?","Souvent fin de licence. Mais certaines filières le font déjà en deuxième année. Regarde ton programme, chaque département a son rythme. <END>"
"Eh, le dossier que j’ai déposé la semaine passée, silence total.","Normal, c’est l’université. Reste patient mais actif. Un passage poli au bureau peut réveiller ton dossier endormi. <END>"
"Tu vois, on parlait des attestations, la mienne traîne encore.",C’est classique. Les attestations vivent leur propre vie. Relance le service académique avec ton reçu et ton plus grand sourire. <END>
"Et donc, si le prof ne répond toujours pas à mes messages ?","Donne-lui un peu de temps. Certains profs traitent leurs mails comme des lettres postales. Si rien après une semaine, passe au bureau. <END>"
"Le mémoire oyo nakomi, il faut combien de pages minimum ?",Entre 40 et 60 selon la faculté. Mais mieux vaut 40 pages solides que 80 de remplissage. <END>
"Bongo na inscription tardive, eza encore possible ?","Oui, jusqu’à fin novembre parfois. Mais faut payer la pénalité, et ça, ils oublient jamais. <END>"
"Tu vois, on parlait de logement étudiant, il y a encore des places ?",Rarement. Faut chercher tôt ou squatter chez un ami avant que les chambres deviennent plus rares que le Wi-Fi stable. <END>
"Et les stages à l’étranger, oyo olobaki, on postule comment ?","Via le Bureau des Relations Internationales. Faut un dossier sérieux : CV, lettre, notes, et parfois test de langue. <END>"
"Eh boye, le prof m’a dit 'on verra', ça veut dire quoi déjà ?",Traduction académique : oublie. Relance poliment avant que 'on verra' devienne 'on a oublié'. <END>
"Ok, donc le calendrier académique bakobimisa quand ?","Souvent après la réunion de coordination. D’ici là, continue à bosser, parce que les surprises viennent toujours à minuit. <END>"
"Le truc des équivalences, il faut passer où finalement ?","Au Ministère de l’Enseignement Supérieur, direction des équivalences. Apporte les copies légalisées et la patience du moine. <END>"
"Tu vois, le papier ya bourse, balobaki besoin d’un garant. C’est obligatoire ?","Oui, souvent ils demandent. Un parent, tuteur ou même un oncle motivé suffit. Juste que le gars soit joignable. <END>"
Bongo soki le prof refuse de signer mon attestation de stage ?,"Va voir le chef de département, mais reste calme. Ba problèmes ya attitude font souvent durer les papiers. <END>"
"Eh, tu disais que la soutenance se fait quand ?","Généralement deux à trois semaines après dépôt du mémoire. Prépare ta présentation, même si la date n’est pas encore fixée. <END>"
"Tu vois, j’ai fait comme tu avais dit pour l’inscription en master, mais rien encore.","Courage. Les réponses prennent souvent du temps. Passe au secrétariat, et évite de demander tous les jours sinon ba agents bakosala blocage psychologique. <END>"
"Et les résultats de la session, oyo batindaki WhatsApp, c’est fiable ?","Jamais. Attends l’affichage officiel, sinon tu risques de fêter une note imaginaire. <END>"
"Ok, donc le nouveau calendrier ezo reprendre tous les cours ?","Oui, selon les rumeurs confirmées à moitié. Mais prépare-toi quand même, car l’université adore les redémarrages surprise. <END>"
"Tu vois, na bourse AUF oyo olobaki, ebandi déjà ?","Oui, elle ouvre souvent entre mars et avril. Reste connecté sur leur site et prépare ton dossier maintenant. <END>"
"Et le stage local, il faut payer quelque chose ?","Normalement non, mais certains organismes demandent un petit 'frais de dossier'. Si c’est trop, c’est suspect. <END>"
"Tu disais que les masters pro et recherche, c’est pas pareil ?","Exact. Le master pro vise le travail direct, le master recherche prépare au doctorat. Choisis selon ton énergie et ton café préféré. <END>"
"Eh boye, je peux combiner deux filières ?","Théoriquement oui, pratiquement courage. C’est faisable si tu gères ton temps, mais oublie les week-ends. <END>"
"Et donc, pour la bourse que tu disais tout à l’heure, on dépose où exactement ?","Le dossier se dépose au service des affaires estudiantines de ta faculté, souvent au premier étage du bâtiment administratif. Garde une copie de ton dossier, parce que les papiers aiment disparaître mystérieusement. <END>"
"Ok, mais si la commission refuse, je peux redemander l’année prochaine ?","Oui, tout à fait. La plupart des bourses peuvent être redemandées chaque année, tant que tu restes inscrit et que tes résultats sont corrects. Prépare juste un dossier plus solide. <END>"
"Comme tu avais dit, les inscriptions commencent en octobre, c’est toujours valable ?","Oui, généralement oui, mais vérifie sur le site de l’UNIKIN car certaines facultés décalent selon les grèves ou les retards administratifs. <END>"
