context,question,answer
Paris est la capitale de la France et abrite la Tour Eiffel.,Quelle est la capitale de la France ?,Paris
Albert Einstein était un physicien célèbre. Il a développé la théorie de la relativité.,Qui a développé la théorie de la relativité ?,Albert Einstein
Python est un langage de programmation polyvalent créé par Guido van Rossum dans les années 1990.,Qui a créé Python ?,Guido van Rossum
Le Nil est le plus long fleuve d'Afrique et traverse de nombreux pays.,Quel est le plus long fleuve d'Afrique ?,Le Nil
"Le mont Everest est la plus haute montagne du monde, située dans l'Himalaya.",Quelle est la plus haute montagne du monde ?,Le mont Everest
La Joconde a été peinte par Léonard de Vinci à la Renaissance.,Qui a peint la Joconde ?,Léonard de Vinci
La forêt amazonienne couvre une grande partie du nord-ouest du Brésil et est la plus grande forêt tropicale humide.,Où se trouve la forêt amazonienne ?,nord-ouest du Brésil
La Grande Muraille de Chine est une célèbre structure historique qui traverse le nord de la Chine.,Qu'est-ce que la Grande Muraille de Chine ?,une célèbre structure historique
Isaac Newton a découvert la loi universelle de la gravitation au XVIIe siècle.,Qui a découvert la loi de la gravitation ?,Isaac Newton
La Tour de Pise est célèbre pour son inclinaison et se situe en Italie.,Dans quel pays se trouve la Tour de Pise ?,Italie
Le Sahara est le plus grand désert chaud du monde et se trouve en Afrique.,Quel est le plus grand désert chaud du monde ?,le Sahara
Jupiter est la plus grande planète du système solaire et possède une grande tache rouge.,Quelle est la plus grande planète du système solaire ?,Jupiter
La Lune est le seul satellite naturel de la Terre et influence les marées.,Quel est le satellite naturel de la Terre ?,La Lune
Le peintre espagnol Pablo Picasso est l’un des fondateurs du cubisme.,Quel artiste a fondé le cubisme ?,Pablo Picasso
Le Titanic a coulé dans l’océan Atlantique en 1912 après avoir heurté un iceberg.,En quelle année le Titanic a-t-il coulé ?,1912
La Déclaration des Droits de l’Homme et du Citoyen a été adoptée en 1789 pendant la Révolution française.,En quelle année a été adoptée la Déclaration des Droits de l’Homme et du Citoyen ?,1789
Le café est une boisson obtenue à partir des grains torréfiés du caféier.,À partir de quoi le café est-il fabriqué ?,grains torréfiés du caféier
La Tour Eiffel a été construite par Gustave Eiffel pour l’Exposition universelle de 1889.,Qui a construit la Tour Eiffel ?,Gustave Eiffel
Rome est la capitale de l’Italie et abrite le Colisée.,Quelle est la capitale de l’Italie ?,Rome
La Seine traverse la ville de Paris avant de se jeter dans la Manche.,Quel fleuve traverse Paris ?,La Seine
Paris est la capitale de la France et abrite la Tour Eiffel.,Quelle est la capitale de la France ?,Paris
Rome est la capitale de l’Italie et abrite le Colisée.,Quelle est la capitale de l’Italie ?,Rome
Berlin est la capitale de l’Allemagne et une ville célèbre pour son mur historique.,Quelle est la capitale de l’Allemagne ?,Berlin
Tokyo est la capitale du Japon et l’une des plus grandes métropoles du monde.,Quelle est la capitale du Japon ?,Tokyo
Ottawa est la capitale du Canada et se trouve dans la province de l’Ontario.,Quelle est la capitale du Canada ?,Ottawa
Le Nil est le plus long fleuve d'Afrique et traverse de nombreux pays.,Quel est le plus long fleuve d'Afrique ?,Le Nil
"Le mont Everest est la plus haute montagne du monde, située dans l'Himalaya.",Quelle est la plus haute montagne du monde ?,Le mont Everest
La forêt amazonienne couvre une grande partie du nord-ouest du Brésil et est la plus grande forêt tropicale humide.,Où se trouve la forêt amazonienne ?,nord-ouest du Brésil
La Grande Muraille de Chine est une célèbre structure historique qui traverse le nord de la Chine.,Qu'est-ce que la Grande Muraille de Chine ?,une célèbre structure historique
La Tour de Pise est célèbre pour son inclinaison et se situe en Italie.,Dans quel pays se trouve la Tour de Pise ?,Italie
Le Sahara est le plus grand désert chaud du monde et se trouve en Afrique.,Quel est le plus grand désert chaud du monde ?,le Sahara
La Seine traverse la ville de Paris avant de se jeter dans la Manche.,Quel fleuve traverse Paris ?,La Seine
Albert Einstein était un physicien célèbre. Il a développé la théorie de la relativité.,Qui a développé la théorie de la relativité ?,Albert Einstein
Isaac Newton a découvert la loi universelle de la gravitation au XVIIe siècle.,Qui a découvert la loi de la gravitation ?,Isaac Newton
Marie Curie a découvert le polonium et le radium et a reçu deux prix Nobel.,Quelle scientifique a découvert le polonium et le radium ?,Marie Curie
Charles Darwin a développé la théorie de l'évolution des espèces par sélection naturelle.,Qui a proposé la théorie de l’évolution ?,Charles Darwin
Thomas Edison a inventé l’ampoule électrique à incandescence.,Qui a inventé l’ampoule électrique ?,Thomas Edison
Les abeilles produisent du miel à partir du nectar des fleurs.,Que produisent les abeilles ?,du miel
Python est un langage de programmation polyvalent créé par Guido van Rossum dans les années 1990.,Qui a créé Python ?,Guido van Rossum
Alan Turing est considéré comme le père de l’informatique moderne.,Qui est considéré comme le père de l’informatique ?,Alan Turing
L’ordinateur portable est un appareil électronique permettant de travailler ou naviguer sur Internet.,À quoi sert un ordinateur portable ?,à travailler ou naviguer sur Internet
Jupiter est la plus grande planète du système solaire et possède une grande tache rouge.,Quelle est la plus grande planète du système solaire ?,Jupiter
La Lune est le seul satellite naturel de la Terre et influence les marées.,Quel est le satellite naturel de la Terre ?,La Lune
Le Titanic a coulé dans l’océan Atlantique en 1912 après avoir heurté un iceberg.,En quelle année le Titanic a-t-il coulé ?,1912
La Déclaration des Droits de l’Homme et du Citoyen a été adoptée en 1789 pendant la Révolution française.,En quelle année a été adoptée la Déclaration des Droits de l’Homme et du Citoyen ?,1789
La Tour Eiffel a été construite par Gustave Eiffel pour l’Exposition universelle de 1889.,Qui a construit la Tour Eiffel ?,Gustave Eiffel
Christophe Colomb a découvert l’Amérique en 1492 en traversant l’océan Atlantique.,Qui a découvert l’Amérique ?,Christophe Colomb
Napoléon Bonaparte est devenu empereur des Français en 1804.,Quand Napoléon Bonaparte est-il devenu empereur ?,1804
Léonard de Vinci était un peintre et inventeur italien de la Renaissance.,De quelle époque est Léonard de Vinci ?,la Renaissance
L’Empire romain s’est effondré en 476 après J.-C.,En quelle année l’Empire romain s’est-il effondré ?,476 après J.-C.
Le chat est un animal domestique apprécié pour sa compagnie et son indépendance.,Quel animal est apprécié pour sa compagnie et son indépendance ?,le chat
Le chien est souvent appelé le meilleur ami de l’homme.,Quel animal est considéré comme le meilleur ami de l’homme ?,le chien
Le cheval est un animal herbivore utilisé depuis longtemps pour le transport et le travail.,Quel animal a longtemps été utilisé pour le transport ?,le cheval
Les dauphins sont des mammifères marins connus pour leur intelligence et leur sociabilité.,Quel mammifère marin est connu pour son intelligence ?,le dauphin
Les éléphants ont une mémoire exceptionnelle et vivent en groupes dirigés par une femelle.,Quel animal est célèbre pour sa mémoire exceptionnelle ?,l’éléphant
"Victor Hugo est l’auteur du roman Les Misérables, publié en 1862.",Qui a écrit Les Misérables ?,Victor Hugo
Jules Verne est un écrivain français connu pour ses romans d’aventure comme Vingt Mille Lieues sous les mers.,Quel écrivain a écrit Vingt Mille Lieues sous les mers ?,Jules Verne
"William Shakespeare est un dramaturge anglais, auteur de Roméo et Juliette.",Qui a écrit Roméo et Juliette ?,William Shakespeare
"Pablo Picasso est un peintre espagnol, l’un des fondateurs du cubisme.",Quel artiste a fondé le cubisme ?,Pablo Picasso
Paris est la capitale de la France et abrite la Tour Eiffel.,Quelle est la capitale de la France ?,Paris
Rome est la capitale de l’Italie et abrite le Colisée.,Quelle est la capitale de l’Italie ?,Rome
Madrid est la capitale de l’Espagne et se situe au centre du pays.,Quelle est la capitale de l’Espagne ?,Madrid
Bruxelles est la capitale de la Belgique et le siège de l’Union européenne.,Quelle ville est la capitale de la Belgique ?,Bruxelles
Le Nil est le plus long fleuve d’Afrique et traverse de nombreux pays.,Quel est le plus long fleuve d’Afrique ?,Le Nil
L’Amazone est un fleuve d’Amérique du Sud qui traverse le Brésil.,Quel fleuve traverse le Brésil ?,L’Amazone
"Le Mont Blanc est la plus haute montagne d’Europe occidentale, située entre la France et l’Italie.",Quelle est la plus haute montagne d’Europe occidentale ?,le Mont Blanc
Le Sahara est le plus grand désert chaud du monde et s’étend sur plusieurs pays d’Afrique du Nord.,Quel est le plus grand désert chaud du monde ?,le Sahara
La Seine traverse Paris avant de se jeter dans la Manche.,Quel fleuve traverse Paris ?,La Seine
"La Loire est le plus long fleuve de France, avec une longueur de plus de 1 000 kilomètres.",Quel est le plus long fleuve de France ?,La Loire
Christophe Colomb a découvert l’Amérique en 1492 en traversant l’océan Atlantique.,Qui a découvert l’Amérique ?,Christophe Colomb
La Révolution française a commencé en 1789 et a conduit à la chute de la monarchie.,En quelle année a commencé la Révolution française ?,1789
