instruction,response,category
"Franchement j’sais pas si je dois faire Géologie ou Informatique, j’aime les deux.","Qu’est-ce que t’aimes le plus faire au fond ? Observer la nature ou bidouiller sur un ordi ?","Orientation"
"J’aime bien les deux, mais rester assis toute la journée, c’est pas trop mon truc.","Alors évite l’informatique, tu vas vite t’ennuyer. En Géologie, t’es dehors, tu bouges, tu explores.","Orientation"
"Mais j’ai peur que ça paye pas bien après.","Y’a des débouchés en environnement, mines, énergie… C’est pas instantané, mais c’est stable si t’es motivé.","Orientation"
"Je voulais aller en Médecine mais franchement ça me fait peur, c’est trop long.","Pourquoi t’avais choisi Médecine à la base ?","Orientation"
"Parce que mes parents veulent que je devienne docteur.","Et toi, t’aimes ça ou c’est juste pour leur faire plaisir ?","Orientation"
"Moi j’aime aider les gens, mais j’suis pas fan des trucs de sang et tout.","Alors pense à Infirmier ou Psychologie, c’est plus humain et moins extrême.","Orientation"
"Tu crois que mes parents vont accepter ?","S’ils voient que t’es épanoui et sérieux, oui. Il vaut mieux un pro heureux qu’un médecin malheureux.","Orientation"
"J’hésite entre Info et Gestion, j’aime les deux mais j’suis pas fort en maths.","T’inquiète, les maths c’est pas un mur. Tu préfères coder ou organiser des projets ?","Orientation"
"Organiser, j’aime bien gérer des trucs, parler avec les gens.","Alors Gestion t’ira mieux, l’informatique c’est plus solo et technique.","Orientation"
"Mais j’ai peur que la Gestion soit ennuyeuse.","Pas si tu vas vers le management digital ou l’entrepreneuriat. Tu peux même mélanger les deux domaines.","Orientation"
"Je suis perdu entre Droit et Sciences politiques.","C’est normal. Tu veux plus comprendre les lois ou le monde ?","Orientation"
"Le monde, les relations, la société.","Alors Sciences po. Le Droit, c’est précis et parfois un peu sec.","Orientation"
"Mais mes potes disent qu’y a pas de boulot après.","Faux. Y’a des places dans les ONG, la communication, les affaires publiques. Faut juste être curieux et actif.","Orientation"
"Je voulais faire Biologie, mais j’ai peur que ce soit trop scientifique.","Tu veux bosser dans quoi après ?","Orientation"
"Je sais pas, peut-être en environnement.","Alors Biologie, c’est bien. Tu verras, c’est pas que des formules. Tu touches au vivant, à la nature.","Orientation"
"Mais j’suis nul en chimie.","C’est gérable. En biologie, la chimie sert juste à comprendre le reste, t’en feras pas toute ta vie.","Orientation"
"Entre Architecture et Génie civil, je sais pas trop. Les deux ont l’air cool.","T’es plus créatif ou plus logique ?","Orientation"
"Créatif, mais j’aime bien quand c’est concret aussi.","Architecture alors. Tu pourras concevoir, imaginer et garder une part technique.","Orientation"
"Mais j’suis pas un as du dessin.","T’inquiète, ça s’apprend. Ce qui compte, c’est ton regard et ton sens du détail.","Orientation"
"Je me tâte entre Psychologie et Communication.","T’es plus à l’aise pour écouter ou pour parler ?","Orientation"
"Pour parler, clairement.","Alors Communication. Psychologie, c’est plus calme, analytique.","Orientation"
"Mais j’aime comprendre les gens aussi.","Dans ce cas, fais de la communication humaine, ou RH. T’auras les deux côtés.","Orientation"
"Je voulais faire Informatique mais j’entends que c’est galère au début.","C’est vrai, mais galère ne veut pas dire impossible. T’as déjà codé un peu ?","Orientation"
"Oui, un peu de Python, j’aime ça.","Alors t’as déjà un bon départ. Au début, c’est dur pour tout le monde.","Orientation"
"Mais j’ai peur d’abandonner.","Si t’aimes créer et résoudre des problèmes, tu tiendras. Commence petit, progresse à ton rythme.","Orientation"
"Je veux aller en Économie mais j’suis nul en chiffres.","T’aimes quoi dans l’économie ?","Orientation"
"Comprendre comment le monde tourne, les marchés, tout ça.","Alors ça marche. Tu peux viser une approche politique ou sociale de l’économie, moins calculatoire.","Orientation"
"Donc j’suis pas foutu ?","Non. Si t’as la logique, les chiffres viendront avec la pratique.","Orientation"
"Je suis en plein doute entre Médecine et Biotechnologie.","Tu veux soigner ou inventer ?","Orientation"
"Inventer, mais j’ai peur que ça soit trop technique.","C’est technique, mais passionnant. Tu bosses sur la santé d’une autre manière.","Orientation"
"Et si je regrette ?","Les passerelles existent. Tu pourras toujours te réorienter vers le médical si l’envie revient.","Orientation"
"Je veux choisir entre Histoire et Géographie.","T’aimes mieux raconter ou observer ?","Orientation"
"Raconter, j’adore les récits.","Alors Histoire. Géographie, c’est plus chiffres, cartes, terrain.","Orientation"
"Mais j’aime aussi comprendre les sociétés actuelles.","Tu peux étudier l’histoire contemporaine. C’est pile entre les deux.","Orientation"
"Je pensais faire Marketing mais tout le monde me dit que c’est saturé.","T’aimes convaincre, créer des trucs ?","Orientation"
"Oui, j’aime parler, trouver des idées.","Alors Marketing t’ira bien. Y’a de la concurrence, mais les bons profils trouvent toujours leur place.","Orientation"
"Et si j’échoue ?","T’auras appris à vendre, communiquer et t’exprimer — ça sert dans tout.","Orientation"
"Je veux faire Droit mais j’ai peur que ce soit trop long.","C’est long, oui, mais ça dépend de ce que tu veux faire après.","Orientation"
"J’aimerais être avocat.","Alors c’est le bon chemin. Tu peux avancer étape par étape, licence, master, stage.","Orientation"
"Mais j’ai peur d’échouer.","Personne réussit sans doutes. L’important, c’est de persévérer et bien s’entourer.","Orientation"
"Je sais pas si je dois aller en Physique ou en Informatique.","Tu veux comprendre ou construire ?","Orientation"
"Construire.","Alors Informatique. La Physique, c’est plus abstrait, plus formules.","Orientation"
"Mais j’suis curieux de tout.","Ça tombe bien, l’info touche à tout. Tu pourras faire de la simulation, de l’IA, de la robotique.","Orientation"
"Je voulais faire Géographie mais mes parents disent que ça mène nulle part.","Pourquoi t’aimes la géo ?","Orientation"
"J’aime les cartes, comprendre les espaces et les cultures.","Alors c’est pas rien. La géo mène à l’aménagement, à l’environnement, à la planification.","Orientation"
"Mais eux veulent que je fasse Économie.","Tu peux combiner les deux plus tard : géographie économique, urbanisme, géomatique.","Orientation"
"Je veux aller en Psychologie mais j’ai peur d’être submergé par les histoires des gens.","C’est une bonne peur, ça montre de l’empathie.","Orientation"
"Oui, je me sens vite concerné.","Tu apprendras à te protéger émotionnellement, c’est une partie du métier.","Orientation"
"Et si je craque ?","Tu seras entouré, formé. Le soutien psychologique fait partie de la formation elle-même.","Orientation"
"Je ne sais pas si je dois faire Sciences de l’éducation ou Communication.","Tu veux enseigner ou partager des messages ?","Orientation"
"Partager, mais j’aime aussi expliquer.","Alors Communication éducative, c’est pile entre les deux.","Orientation"
"Ça existe ?","Oui, et c’est un domaine qui se développe vite.","Orientation"
"Je veux aller en Informatique mais j’ai peur d’être seul tout le temps.","C’est un cliché. Aujourd’hui, tu bosses souvent en équipe.","Orientation"
"Ah ouais ? Moi j’imaginais des gens dans le noir devant leur écran.","Il y en a, mais la plupart travaillent sur des projets collaboratifs. Tu verras, c’est vivant.","Orientation"
"Ça me rassure, merci.","C’est normal d’avoir peur au début. T’es déjà sur la bonne voie en posant les bonnes questions.","Orientation"
"Je suis paumé entre Gestion, Commerce et Marketing.","T’aimes plus diriger, vendre ou créer ?","Orientation"
"Créer et parler aux gens.","Alors Marketing. Gestion, c’est plus organisation et chiffres.","Orientation"
"Et Commerce ?","Commerce, c’est le terrain. Tu pourras faire les trois plus tard si tu veux entreprendre.","Orientation"
"J’hésite entre Géosciences et Informatique.","Quels sont tes points forts à l’école ou les matières que tu préfères ?","Orientation"
"J’aime comprendre comment fonctionne la Terre, mais j’aime aussi manipuler les ordinateurs.","Tu préfères travailler dehors sur le terrain ou dans un bureau sur un écran ?","Orientation"
"Sur le terrain, j’aime bouger et observer.","Alors Géosciences est mieux pour toi. Tu verras du concret, moins de travail devant un ordinateur.","Orientation"
"Mais j’ai peur qu’il y ait trop de physique.","Il y en a un peu, mais c’est appliqué. En Info, c’est plus abstrait et logique. Géosciences sera plus intuitive pour toi.","Orientation"
"Je ne sais pas si je dois choisir entre Médecine et Biologie.","Tu veux soigner directement ou comprendre les mécanismes du corps ?","Orientation"
"Je veux comprendre, mais j’ai peur des longues études.","Dans ce cas, Biologie te conviendrait. Tu peux ensuite te spécialiser en santé, sans passer par la médecine clinique.","Orientation"
"Et si je veux travailler dans les hôpitaux ?","Avec Biologie, tu peux viser la recherche biomédicale. Moins de contact avec les patients, mais tout aussi utile.","Orientation"
"Je veux faire Droit, mais mes parents veulent que je fasse Gestion.","Pourquoi tu préfères Droit ?","Orientation"
"Parce que j’aime débattre et défendre des idées.","Et la Gestion ne t’intéresse pas du tout ?","Orientation"
"Pas vraiment, je n’aime pas les chiffres.","Alors Droit est cohérent avec ta personnalité. Tes parents veulent sûrement la stabilité, mais tu pourras aussi réussir en Droit avec passion et rigueur.","Orientation"
"J’hésite entre Informatique et Génie civil.","Tu préfères créer avec tes mains ou ton cerveau ?","Orientation"
"Mon cerveau, je préfère coder que construire des ponts.","Alors l’informatique est mieux adaptée, plus logique et conceptuelle.","Orientation"
"Mais j’ai peur que ce soit trop difficile en maths.","Tu peux commencer par la programmation. Les maths viennent ensuite, quand tu seras à l’aise avec la logique.","Orientation"
"Je veux choisir entre Communication et Psychologie.","Tu veux comprendre les gens ou leur parler ?","Orientation"
"Les deux, en fait. J’aime analyser et convaincre.","Tu es donc entre l’étude et la persuasion. Tu veux plus de théorie ou de pratique ?","Orientation"
"Plutôt de la pratique.","Alors Communication te donnera plus d’action, tandis que Psychologie reste plus analytique et scientifique.","Orientation"
"Et si je veux aider les gens ?","Tu pourras aussi le faire en Communication, à travers des projets sociaux ou éducatifs.","Orientation"
"Je ne sais pas entre Économie et Sciences politiques.","Tu préfères les chiffres ou les débats ?","Orientation"
"Les débats, j’aime comprendre la société.","Alors Sciences politiques t’ira mieux. Économie, c’est plus calculs et graphiques.","Orientation"
"Mais j’ai peur que ça ne donne pas beaucoup d’emplois.","C’est une idée reçue : beaucoup de politologues travaillent dans les ONG, la communication publique ou l’administration.","Orientation"
"J’hésite entre Agronomie et Environnement.","Tu veux produire ou protéger ?","Orientation"
"Protéger, je veux défendre la nature.","Alors Environnement te correspond, c’est plus orienté écologie et durabilité.","Orientation"
"Mais mes parents disent qu’Agronomie est plus rentable.","C’est vrai à court terme, mais l’Environnement devient un secteur clé. Tu pourras aussi y trouver des débouchés solides.","Orientation"
"Je ne sais pas entre Informatique et Data Science.","Tu veux coder ou analyser ?","Orientation"
"Les deux, j’aime Python et la logique.","Alors Data Science combine bien les deux, mais demande un peu plus de maths.","Orientation"
